location_name,translated_location,measure_name,metric_name,year,val,gdp_per_capita,pop_density
Fiji,Fiji,Prevalensi,Laju,2016,37745.89140061313,11951.92,50.31018
Srilanka,Srilanka,Prevalensi,Laju,2016,27352.66027121386,15136.696,102.52181
Pulau Marshall,Marshall Islands,Prevalensi,Laju,2016,39421.01208428283,4896.522,265.16666
Republik Dominika,Dominican Republic,Prevalensi,Laju,2016,23116.74133916718,18968.975,221.9905
Timor-Leste,Timor-Leste,Prevalensi,Laju,2016,35078.55719387338,15136.696,102.52181
Kazakhstan,Kazakhstan,Prevalensi,Laju,2016,19204.24519792372,30758.322,6.8020897
Mikronesia (Negara Federasi),Mikronesia (Negara Federasi),Prevalensi,Laju,2016,37826.533710329655,15136.696,102.52181
Indonesia,Indonesia,Prevalensi,Laju,2016,36973.47541564306,11319.663,139.82545
Mongolia,Mongolia,Prevalensi,Laju,2016,24866.77196609817,13898.1455,1.9523604
Papua Nugini,Papua New Guinea,Prevalensi,Laju,2016,39309.53671374861,4275.7485,19.789156
Singapura,Singapura,Prevalensi,Laju,2016,18680.358047697147,15136.696,102.52181
Saint Lucia,Saint Lucia,Prevalensi,Laju,2016,21052.32288929301,21775.475,287.95245
Pulau Solomon,Pulau Solomon,Prevalensi,Laju,2016,38982.34720372134,15136.696,102.52181
Kosta Rika,Kosta Rika,Prevalensi,Laju,2016,18439.76398097463,15136.696,102.52181
Brazil,Brazil,Prevalensi,Laju,2016,25727.902507915052,17620.928,24.313795
Siprus,Siprus,Prevalensi,Laju,2016,6217.50473336119,15136.696,102.52181
Malaysia,Malaysia,Prevalensi,Laju,2016,29893.35879883465,28425.371,96.757545
Komoro,Komoro,Prevalensi,Laju,2016,23964.0521879633,15136.696,102.52181
Turkmenistan,Turkmenistan,Prevalensi,Laju,2016,22757.03627802286,13552.848,13.534018
Selandia Baru,Selandia Baru,Prevalensi,Laju,2016,11754.38057236913,15136.696,102.52181
Djibouti,Djibouti,Prevalensi,Laju,2016,23300.73517681339,5226.5005,44.765316
Australia,Australia,Prevalensi,Laju,2016,10051.456714661861,56529.953,3.1630135
Albania,Albania,Prevalensi,Laju,2016,16652.1962133546,14643.489,105.761604
Vanuatu,Vanuatu,Prevalensi,Laju,2016,38630.545001418024,3397.7673,22.32133
Antigua dan Barbuda,Antigua dan Barbuda,Prevalensi,Laju,2016,19035.45044418324,15136.696,102.52181
Norway,Norway,Prevalensi,Laju,2016,6120.938871649781,85787.62,14.373882
Republik Afrika Tengah,Republik Afrika Tengah,Prevalensi,Laju,2016,33679.10484568089,15136.696,102.52181
Oman,Oman,Prevalensi,Laju,2016,13704.8857659063,39860.99,14.187012
Finlandia,Finland,Prevalensi,Laju,2016,6045.59362850573,53984.633,18.080307
El Salvador,El Salvador,Prevalensi,Laju,2016,22167.95190566507,9863.761,299.26678
Mali,Mali,Prevalensi,Laju,2016,21565.22178602688,2759.1106,15.728123
Uganda,Uganda,Prevalensi,Laju,2016,37582.07708086081,2554.2278,193.49269
Aljazair,Aljazair,Prevalensi,Laju,2016,10792.51515803045,15136.696,102.52181
Islandia,Islandia,Prevalensi,Laju,2016,5315.57178297497,15136.696,102.52181
Irak,Irak,Prevalensi,Laju,2016,14252.10121225121,15136.696,102.52181
Etiopia,Etiopia,Prevalensi,Laju,2016,32404.617076032348,15136.696,102.52181
Georgia,Georgia,Prevalensi,Laju,2016,21408.44609658022,15442.956,54.56988
Cina,Cina,Prevalensi,Laju,2016,34535.73887601796,15136.696,102.52181
Meksiko,Mexico,Prevalensi,Laju,2016,25069.74317655007,21578.264,62.888107
India,India,Prevalensi,Laju,2016,28204.32181831039,6940.626,452.02097
Yordania,Yordania,Prevalensi,Laju,2016,2554.48916203031,15136.696,102.52181
Zambia,Zambia,Prevalensi,Laju,2016,20702.66502827421,3598.1716,22.753101
Gambia,Gambia,Prevalensi,Laju,2016,17364.74832121977,2478.4604,225.66946
Trinidad dan Tobago,Trinidad dan Tobago,Prevalensi,Laju,2016,21031.86702121638,15136.696,102.52181
Montenegro,Montenegro,Prevalensi,Laju,2016,14597.795929080981,21834.182,46.412342
Azerbaijan,Azerbaijan,Prevalensi,Laju,2016,22205.66423392649,19822.41,119.40029
Mesir,Egypt,Prevalensi,Laju,2016,29160.5628268635,13727.32,102.10918
Israel,Israel,Prevalensi,Laju,2016,5909.84858906527,41963.676,379.3903
Kuwait,Kuwait,Prevalensi,Laju,2016,11894.74478079105,56936.62,224.69002
Yunani,Greece,Prevalensi,Laju,2016,6631.10438498093,31468.62,83.595856
Jepang,Japan,Prevalensi,Laju,2016,18434.353567105692,43736.13,348.86133
Myanmar,Myanmar,Prevalensi,Laju,2016,38056.72343114369,5580.9897,78.900055
Suriname,Suriname,Prevalensi,Laju,2016,24453.52833379597,21950.412,3.7677243
Kirgistan,Kirgistan,Prevalensi,Laju,2016,20495.15587765164,15136.696,102.52181
Pantai Gading,Pantai Gading,Prevalensi,Laju,2016,21796.8088287951,15136.696,102.52181
Afganistan,Afganistan,Prevalensi,Laju,2016,16878.23179466797,15136.696,102.52181
Bangladesh,Bangladesh,Prevalensi,Laju,2016,8726.70985297139,5682.5356,1235.3994
Grenada,Grenada,Prevalensi,Laju,2016,22077.170315980067,15640.827,338.66763
Austria,Austria,Prevalensi,Laju,2016,6215.13497950133,61572.71,105.88851
Chili,Chili,Prevalensi,Laju,2016,14694.230043150481,15136.696,102.52181
Panama,Panama,Prevalensi,Laju,2016,20425.225208046242,30765.236,54.314976
Guam,Guam,Prevalensi,Laju,2016,28970.24921418755,15136.696,304.14816
Federasi Rusia,Federasi Rusia,Prevalensi,Laju,2016,18420.95673119833,15136.696,102.52181
